Total Params: 61930 size: 123860 bytes = 120 KB 


 type Conv2dPrune, weight,  1600, 745, torch.float32, count 
type Conv2dPrune, prune_mask,  1600, 0, torch.float32, count 
type BatchNorm2d, weight,  32, 32, torch.float32, skip 
type BatchNorm2d, bias,  32, 32, torch.float32, skip 
type Conv2dPrune, weight,  9216, 4289, torch.float32, count 
type Conv2dPrune, prune_mask,  9216, 0, torch.float32, count 
type BatchNorm2d, weight,  32, 32, torch.float32, skip 
type BatchNorm2d, bias,  32, 32, torch.float32, skip 
type Conv2dPrune, weight,  1024, 477, torch.float32, count 
type Conv2dPrune, prune_mask,  1024, 0, torch.float32, count 
type BatchNorm2d, weight,  32, 32, torch.float32, skip 
type BatchNorm2d, bias,  32, 32, torch.float32, skip 
type Conv2dPrune, weight,  9216, 4289, torch.float32, count 
type Conv2dPrune, prune_mask,  9216, 0, torch.float32, count 
type BatchNorm2d, weight,  32, 32, torch.float32, skip 
type BatchNorm2d, bias,  32, 32, torch.float32, skip 
type Conv2dPrune, weight,  9216, 4289, torch.float32, count 
type Conv2dPrune, prune_mask,  9216, 0, torch.float32, count 
type BatchNorm2d, weight,  32, 32, torch.float32, skip 
type BatchNorm2d, bias,  32, 32, torch.float32, skip 
type Conv2dPrune, weight,  9216, 4289, torch.float32, count 
type Conv2dPrune, prune_mask,  9216, 0, torch.float32, count 
type BatchNorm2d, weight,  32, 32, torch.float32, skip 
type BatchNorm2d, bias,  32, 32, torch.float32, skip 
type Conv2dPrune, weight,  9216, 4289, torch.float32, count 
type Conv2dPrune, prune_mask,  9216, 0, torch.float32, count 
type BatchNorm2d, weight,  32, 32, torch.float32, skip 
type BatchNorm2d, bias,  32, 32, torch.float32, skip 
type Conv2dPrune, weight,  1024, 477, torch.float32, count 
type Conv2dPrune, prune_mask,  1024, 0, torch.float32, count 
type BatchNorm2d, weight,  32, 32, torch.float32, skip 
type BatchNorm2d, bias,  32, 32, torch.float32, skip 
type Conv2dPrune, weight,  1024, 477, torch.float32, count 
type Conv2dPrune, prune_mask,  1024, 0, torch.float32, count 
type BatchNorm2d, weight,  32, 32, torch.float32, skip 
type BatchNorm2d, bias,  32, 32, torch.float32, skip 
type Conv2dPrune, weight,  2048, 954, torch.float32, count 
type Conv2dPrune, prune_mask,  2048, 0, torch.float32, count 
type BatchNorm2d, weight,  64, 64, torch.float32, skip 
type BatchNorm2d, bias,  64, 64, torch.float32, skip 
type Conv2dPrune, weight,  4096, 1907, torch.float32, count 
type Conv2dPrune, prune_mask,  4096, 0, torch.float32, count 
type BatchNorm2d, weight,  64, 64, torch.float32, skip 
type BatchNorm2d, bias,  64, 64, torch.float32, skip 
type Conv2dPrune, weight,  2048, 954, torch.float32, count 
type Conv2dPrune, prune_mask,  2048, 0, torch.float32, count 
type BatchNorm2d, weight,  64, 64, torch.float32, skip 
type BatchNorm2d, bias,  64, 64, torch.float32, skip 
type Conv2dPrune, weight,  4096, 1907, torch.float32, count 
type Conv2dPrune, prune_mask,  4096, 0, torch.float32, count 
type BatchNorm2d, weight,  64, 64, torch.float32, skip 
type BatchNorm2d, bias,  64, 64, torch.float32, skip 
type Conv2dPrune, weight,  4096, 1907, torch.float32, count 
type Conv2dPrune, prune_mask,  4096, 0, torch.float32, count 
type BatchNorm2d, weight,  64, 64, torch.float32, skip 
type BatchNorm2d, bias,  64, 64, torch.float32, skip 
type Conv2dPrune, weight,  8192, 3813, torch.float32, count 
type Conv2dPrune, prune_mask,  8192, 0, torch.float32, count 
type BatchNorm2d, weight,  128, 128, torch.float32, skip 
type BatchNorm2d, bias,  128, 128, torch.float32, skip 
type Conv2dPrune, weight,  16384, 7625, torch.float32, count 
type Conv2dPrune, prune_mask,  16384, 0, torch.float32, count 
type BatchNorm2d, weight,  128, 128, torch.float32, skip 
type BatchNorm2d, bias,  128, 128, torch.float32, skip 
type Conv2dPrune, weight,  8192, 3813, torch.float32, count 
type Conv2dPrune, prune_mask,  8192, 0, torch.float32, count 
type BatchNorm2d, weight,  128, 128, torch.float32, skip 
type BatchNorm2d, bias,  128, 128, torch.float32, skip 
type Conv2dPrune, weight,  16384, 7625, torch.float32, count 
type Conv2dPrune, prune_mask,  16384, 0, torch.float32, count 
type BatchNorm2d, weight,  128, 128, torch.float32, skip 
type BatchNorm2d, bias,  128, 128, torch.float32, skip 
type Conv2dPrune, weight,  16384, 7625, torch.float32, count 
type Conv2dPrune, prune_mask,  16384, 0, torch.float32, count 
type BatchNorm2d, weight,  128, 128, torch.float32, skip 
type BatchNorm2d, bias,  128, 128, torch.float32, skip 
type Conv2dPrune, weight,  384, 179, torch.float32, count 
type Conv2dPrune, prune_mask,  384, 0, torch.float32, count 
type BatchNorm2d, weight,  3, 3, torch.float32, skip 
type BatchNorm2d, bias,  3, 3, torch.float32, skip 

