Total Params: 242592 size: 485184 bytes = 473 KB 


 type Conv2dDamped, weight,  2400, 2400, torch.float32, count 
type BatchNorm2d, weight,  48, 48, torch.float32, skip 
type BatchNorm2d, bias,  48, 48, torch.float32, skip 
type Conv2dDamped, weight,  20736, 20736, torch.float32, count 
type BatchNorm2d, weight,  48, 48, torch.float32, skip 
type BatchNorm2d, bias,  48, 48, torch.float32, skip 
type Conv2dDamped, weight,  2304, 2304, torch.float32, count 
type BatchNorm2d, weight,  48, 48, torch.float32, skip 
type BatchNorm2d, bias,  48, 48, torch.float32, skip 
type Conv2dDamped, weight,  20736, 20736, torch.float32, count 
type BatchNorm2d, weight,  48, 48, torch.float32, skip 
type BatchNorm2d, bias,  48, 48, torch.float32, skip 
type Conv2dDamped, weight,  20736, 20736, torch.float32, count 
type BatchNorm2d, weight,  48, 48, torch.float32, skip 
type BatchNorm2d, bias,  48, 48, torch.float32, skip 
type Conv2dDamped, weight,  20736, 20736, torch.float32, count 
type BatchNorm2d, weight,  48, 48, torch.float32, skip 
type BatchNorm2d, bias,  48, 48, torch.float32, skip 
type Conv2dDamped, weight,  20736, 20736, torch.float32, count 
type BatchNorm2d, weight,  48, 48, torch.float32, skip 
type BatchNorm2d, bias,  48, 48, torch.float32, skip 
type Conv2dDamped, weight,  2304, 2304, torch.float32, count 
type BatchNorm2d, weight,  48, 48, torch.float32, skip 
type BatchNorm2d, bias,  48, 48, torch.float32, skip 
type Conv2dDamped, weight,  2304, 2304, torch.float32, count 
type BatchNorm2d, weight,  48, 48, torch.float32, skip 
type BatchNorm2d, bias,  48, 48, torch.float32, skip 
type Conv2dDamped, weight,  4608, 4608, torch.float32, count 
type BatchNorm2d, weight,  96, 96, torch.float32, skip 
type BatchNorm2d, bias,  96, 96, torch.float32, skip 
type Conv2dDamped, weight,  9216, 9216, torch.float32, count 
type BatchNorm2d, weight,  96, 96, torch.float32, skip 
type BatchNorm2d, bias,  96, 96, torch.float32, skip 
type Conv2dDamped, weight,  4608, 4608, torch.float32, count 
type BatchNorm2d, weight,  96, 96, torch.float32, skip 
type BatchNorm2d, bias,  96, 96, torch.float32, skip 
type Conv2dDamped, weight,  9216, 9216, torch.float32, count 
type BatchNorm2d, weight,  96, 96, torch.float32, skip 
type BatchNorm2d, bias,  96, 96, torch.float32, skip 
type Conv2dDamped, weight,  9216, 9216, torch.float32, count 
type BatchNorm2d, weight,  96, 96, torch.float32, skip 
type BatchNorm2d, bias,  96, 96, torch.float32, skip 
type Conv2dDamped, weight,  9216, 9216, torch.float32, count 
type BatchNorm2d, weight,  96, 96, torch.float32, skip 
type BatchNorm2d, bias,  96, 96, torch.float32, skip 
type Conv2dDamped, weight,  9216, 9216, torch.float32, count 
type BatchNorm2d, weight,  96, 96, torch.float32, skip 
type BatchNorm2d, bias,  96, 96, torch.float32, skip 
type Conv2dDamped, weight,  18432, 18432, torch.float32, count 
type BatchNorm2d, weight,  192, 192, torch.float32, skip 
type BatchNorm2d, bias,  192, 192, torch.float32, skip 
type Conv2dDamped, weight,  36864, 36864, torch.float32, count 
type BatchNorm2d, weight,  192, 192, torch.float32, skip 
type BatchNorm2d, bias,  192, 192, torch.float32, skip 
type Conv2dDamped, weight,  18432, 18432, torch.float32, count 
type BatchNorm2d, weight,  192, 192, torch.float32, skip 
type BatchNorm2d, bias,  192, 192, torch.float32, skip 
type Conv2dDamped, weight,  576, 576, torch.float32, count 
type BatchNorm2d, weight,  3, 3, torch.float32, skip 
type BatchNorm2d, bias,  3, 3, torch.float32, skip 

