,scene,role,cmd_mode,cmd,scene_estimation_mode,n_updates,scene_est,scene_conf
0,lab,supervisor,gest_verb,move-in-reverse,clip,1,lab,0.6914552223616958
1,lab,supervisor,gest_verb,move-in-reverse,audio,1,lab,0.8287649269004548
2,lab,supervisor,gest_verb,move-in-reverse,audio,2,lab,0.9725947146604549
3,lab,supervisor,gest_verb,move-in-reverse,audio,3,lab,0.9703062531353351
4,lab,supervisor,gest_verb,move-in-reverse,clip,2,lab,0.9788883345123448
5,lab,supervisor,gest_verb,move-in-reverse,audio,4,lab,0.9965982617905592
6,lab,supervisor,gest_verb,move-in-reverse,fused,1,lab,0.888050799394825
7,lab,supervisor,gest_verb,move-in-reverse,clip,3,lab,0.9994495935585063
8,lab,supervisor,gest_verb,move-in-reverse,audio,5,lab,0.9984461446410778
9,lab,supervisor,gest_verb,move-in-reverse,fused,2,lab,0.9475235335955519
10,lab,supervisor,gest_verb,move-in-reverse,audio,6,lab,0.9996657644502436
11,lab,supervisor,gest_verb,move-in-reverse,clip,4,lab,0.9999188100447123
12,lab,supervisor,gest_verb,move-in-reverse,fused,3,lab,0.9912467716168849
13,lab,supervisor,gest_verb,move-in-reverse,audio,7,lab,0.9999001237908487
14,lab,supervisor,gest_verb,move-in-reverse,clip,5,lab,0.9999849949862001
15,lab,supervisor,gest_verb,move-in-reverse,fused,4,lab,0.9979615757929209
16,lab,supervisor,gest_verb,move-in-reverse,audio,8,lab,0.9999861273690789
17,lab,supervisor,gest_verb,move-in-reverse,fused,5,lab,0.999653035840529
18,lab,supervisor,gest_verb,move-in-reverse,clip,6,lab,0.9999995705253544
19,lab,supervisor,gest_verb,move-in-reverse,audio,9,lab,0.9999638240482509
20,lab,supervisor,gest_verb,move-in-reverse,fused,6,lab,0.9993625804697243
21,lab,supervisor,gest_verb,move-in-reverse,clip,7,lab,0.9999999790146968
22,lab,supervisor,gest_verb,move-in-reverse,audio,10,lab,0.9999950691181803
23,lab,supervisor,gest_verb,move-in-reverse,fused,7,lab,0.9999678499885644
24,lab,supervisor,gest_verb,move-in-reverse,clip,8,lab,0.9999999995828295
25,lab,supervisor,gest_verb,move-in-reverse,audio,11,lab,0.999998457966365
26,lab,supervisor,gest_verb,move-in-reverse,fused,8,lab,0.9999900152112245
27,lab,supervisor,gest_verb,move-in-reverse,clip,9,lab,0.9999999999599966
28,lab,supervisor,gest_verb,move-in-reverse,audio,12,lab,0.9999993573305747
29,lab,supervisor,gest_verb,move-in-reverse,fused,9,lab,0.9999990370103433
30,lab,supervisor,gest_verb,move-in-reverse,clip,10,lab,0.9999999999969732
31,lab,supervisor,gest_verb,move-in-reverse,audio,13,lab,0.9999999209533107
32,lab,supervisor,gest_verb,move-in-reverse,fused,10,lab,0.9999998817823049
33,lab,supervisor,gest_verb,move-in-reverse,clip,11,lab,0.9999999999998666
34,lab,supervisor,gest_verb,move-in-reverse,audio,14,lab,0.9999999920693065
35,lab,supervisor,gest_verb,move-in-reverse,fused,11,lab,0.9999999947764747
36,lab,supervisor,gest_verb,move-in-reverse,clip,12,lab,0.9999999999999911
37,lab,supervisor,gest_verb,move-in-reverse,audio,15,lab,0.9999999851780316
38,lab,supervisor,gest_verb,move-in-reverse,fused,12,lab,0.9999999902745178
39,lab,supervisor,gest_verb,move-in-reverse,clip,13,lab,0.9999999999999996
40,lab,supervisor,gest_verb,move-in-reverse,audio,16,lab,0.9999999984424922
41,lab,supervisor,gest_verb,move-in-reverse,fused,13,lab,0.9999999994803405
42,lab,supervisor,gest_verb,move-in-reverse,clip,14,lab,1.0
43,lab,supervisor,gest_verb,move-in-reverse,audio,17,lab,0.9999999996756034
44,lab,supervisor,gest_verb,move-in-reverse,fused,14,lab,0.9999999998917725
45,lab,supervisor,gest_verb,move-in-reverse,clip,15,lab,1.0
46,lab,supervisor,gest_verb,move-in-reverse,audio,18,lab,0.999999999930204
47,lab,supervisor,gest_verb,move-in-reverse,fused,15,lab,0.9999999999928084
48,lab,supervisor,gest_verb,move-in-reverse,clip,16,lab,1.0
49,lab,supervisor,gest_verb,move-in-reverse,audio,19,lab,0.999999999976491
50,lab,supervisor,gest_verb,move-in-reverse,fused,16,lab,0.9999999999975776
51,lab,supervisor,gest_verb,move-in-reverse,clip,17,lab,1.0
52,lab,supervisor,gest_verb,move-in-reverse,audio,20,lab,0.9999999999970369
53,lab,supervisor,gest_verb,move-in-reverse,fused,17,lab,0.9999999999998437
54,lab,supervisor,gest_verb,move-in-reverse,audio,21,lab,0.9999999999991291
55,lab,supervisor,gest_verb,move-in-reverse,fused,18,lab,0.999999999999954
56,lab,supervisor,gest_verb,move-in-reverse,clip,18,lab,1.0
57,lab,supervisor,gest_verb,move-in-reverse,audio,22,lab,0.999999999999883
58,lab,supervisor,gest_verb,move-in-reverse,fused,19,lab,0.9999999999999978
59,lab,supervisor,gest_verb,move-in-reverse,clip,19,lab,1.0
60,lab,supervisor,gest_verb,move-in-reverse,audio,23,lab,0.9999999999999788
61,lab,supervisor,gest_verb,move-in-reverse,fused,20,lab,0.9999999999999997
62,lab,supervisor,gest_verb,move-in-reverse,clip,20,lab,1.0
63,lab,supervisor,gest_verb,move-in-reverse,audio,24,lab,0.9999999999999939
64,lab,supervisor,gest_verb,move-in-reverse,fused,21,lab,1.0
65,lab,supervisor,gest_verb,move-in-reverse,clip,21,lab,1.0
66,lab,supervisor,gest_verb,move-in-reverse,audio,25,lab,0.9999999999999989
67,lab,supervisor,gest_verb,move-in-reverse,fused,22,lab,1.0
68,lab,supervisor,gest_verb,move-in-reverse,clip,22,lab,1.0
69,lab,supervisor,gest_verb,move-in-reverse,audio,26,lab,0.9999999999999999
70,lab,supervisor,gest_verb,move-in-reverse,fused,23,lab,1.0
71,lab,supervisor,gest_verb,move-in-reverse,clip,23,lab,1.0
72,lab,supervisor,gest_verb,move-in-reverse,audio,27,lab,1.0
73,lab,supervisor,gest_verb,move-in-reverse,fused,24,lab,1.0
74,lab,supervisor,gest_verb,move-in-reverse,clip,24,lab,1.0
75,lab,supervisor,gest_verb,move-in-reverse,audio,28,lab,1.0
76,lab,supervisor,gest_verb,move-in-reverse,fused,25,lab,1.0
77,lab,supervisor,gest_verb,move-in-reverse,clip,25,lab,1.0
78,lab,supervisor,gest_verb,move-in-reverse,audio,29,lab,1.0
79,lab,supervisor,gest_verb,move-in-reverse,fused,26,lab,1.0
80,lab,supervisor,gest_verb,move-in-reverse,clip,26,lab,1.0
81,lab,supervisor,gest_verb,move-in-reverse,audio,30,lab,1.0
82,lab,supervisor,gest_verb,move-in-reverse,fused,27,lab,1.0
83,lab,supervisor,gest_verb,move-forward,fused,1,lab,0.8263077856260764
84,lab,supervisor,gest_verb,move-forward,audio,1,lab,0.8598316462284636
85,lab,supervisor,gest_verb,move-forward,audio,2,lab,0.9695350754162246
86,lab,supervisor,gest_verb,move-forward,clip,1,lab,0.8775388305109543
87,lab,supervisor,gest_verb,move-forward,audio,3,lab,0.9940153950683872
88,lab,supervisor,gest_verb,move-forward,fused,2,lab,0.9903046897084741
89,lab,supervisor,gest_verb,move-forward,clip,2,lab,0.9958942473583959
90,lab,supervisor,gest_verb,move-forward,audio,4,lab,0.9982913007341307
91,lab,supervisor,gest_verb,move-forward,fused,3,lab,0.9974025550637216
92,lab,supervisor,gest_verb,move-forward,clip,3,lab,0.9998252923519667
93,lab,supervisor,gest_verb,move-forward,audio,5,lab,0.998967738377835
94,lab,supervisor,gest_verb,move-forward,fused,4,lab,0.9998547415813984
95,lab,supervisor,gest_verb,move-forward,clip,4,lab,0.9999846135414585
96,lab,supervisor,gest_verb,move-forward,audio,6,lab,0.9950902807447202
97,lab,supervisor,gest_verb,move-forward,fused,5,lab,0.9992668184316544
98,lab,supervisor,gest_verb,move-forward,clip,5,lab,0.9999988693854761
99,lab,supervisor,gest_verb,move-forward,audio,7,lab,0.9952751740243013
100,lab,supervisor,gest_verb,move-forward,fused,6,lab,0.9999441392399013
