,scene,role,cmd_mode,cmd,scene_estimation_mode,n_updates,scene_est,scene_conf
0,lobby,teammate,gesture,attention,fused,30,lobby,0.9999458040276891
1,lab,supervisor,gest_verb,move-in-reverse,clip,1,lab,0.7011093173634368
2,lab,supervisor,gest_verb,move-in-reverse,audio,1,lab,0.7914553961813011
3,lab,supervisor,gest_verb,move-in-reverse,audio,2,lab,0.9780793268583766
4,lab,supervisor,gest_verb,move-in-reverse,audio,3,lab,0.9252371322810574
5,lab,supervisor,gest_verb,move-in-reverse,fused,1,lobby,0.6932997631274449
6,lab,supervisor,gest_verb,move-in-reverse,clip,2,lab,0.980866621699475
7,lab,supervisor,gest_verb,move-in-reverse,audio,4,lab,0.9925773264332612
8,lab,supervisor,gest_verb,move-in-reverse,fused,2,lab,0.7324421128208226
9,lab,supervisor,gest_verb,move-in-reverse,clip,3,lab,0.9995090578929432
10,lab,supervisor,gest_verb,move-in-reverse,audio,5,lab,0.9991725689710931
11,lab,supervisor,gest_verb,move-in-reverse,fused,3,lab,0.9622180903197696
12,lab,supervisor,gest_verb,move-in-reverse,clip,4,lab,0.9999372145295553
13,lab,supervisor,gest_verb,move-in-reverse,audio,6,lab,0.999793347446419
14,lab,supervisor,gest_verb,move-in-reverse,fused,4,lab,0.9950593154740874
15,lab,supervisor,gest_verb,move-in-reverse,audio,7,lab,0.9998992178788957
16,lab,supervisor,gest_verb,move-in-reverse,clip,5,lab,0.9999942160445384
17,lab,supervisor,gest_verb,move-in-reverse,fused,5,lab,0.9976858661593494
18,lab,supervisor,gest_verb,move-in-reverse,audio,8,lab,0.9999889407785655
19,lab,supervisor,gest_verb,move-in-reverse,clip,6,lab,0.9999998398552183
20,lab,supervisor,gest_verb,move-in-reverse,fused,6,lab,0.9999339899833973
21,lab,supervisor,gest_verb,move-in-reverse,audio,9,lab,0.9999812179718623
22,lab,supervisor,gest_verb,move-in-reverse,clip,7,lab,0.9999999923030893
23,lab,supervisor,gest_verb,move-in-reverse,fused,7,lab,0.9998905889368578
24,lab,supervisor,gest_verb,move-in-reverse,audio,10,lab,0.9999973998258406
25,lab,supervisor,gest_verb,move-in-reverse,clip,8,lab,0.9999999998426943
26,lab,supervisor,gest_verb,move-in-reverse,fused,8,lab,0.999997714081896
27,lab,supervisor,gest_verb,move-in-reverse,audio,11,lab,0.9999995297127442
28,lab,supervisor,gest_verb,move-in-reverse,fused,9,lab,0.9999995867414224
29,lab,supervisor,gest_verb,move-in-reverse,clip,9,lab,0.999999999985339
30,lab,supervisor,gest_verb,move-in-reverse,audio,12,lab,0.9999997743201192
31,lab,supervisor,gest_verb,move-in-reverse,fused,10,lab,0.9999999612352256
32,lab,supervisor,gest_verb,move-in-reverse,clip,10,lab,0.9999999999989665
33,lab,supervisor,gest_verb,move-in-reverse,audio,13,lab,0.9999999524857421
34,lab,supervisor,gest_verb,move-in-reverse,fused,11,lab,0.9999999918390308
35,lab,supervisor,gest_verb,move-in-reverse,clip,11,lab,0.9999999999998753
36,lab,supervisor,gest_verb,move-in-reverse,audio,14,lab,0.9999999950015076
37,lab,supervisor,gest_verb,move-in-reverse,fused,12,lab,0.9999999990117605
38,lab,supervisor,gest_verb,move-in-reverse,clip,12,lab,0.999999999999992
39,lab,supervisor,gest_verb,move-in-reverse,audio,15,lab,0.9999999850919092
40,lab,supervisor,gest_verb,move-in-reverse,fused,13,lab,0.9999999970525864
41,lab,supervisor,gest_verb,move-in-reverse,clip,13,lab,0.9999999999999996
42,lab,supervisor,gest_verb,move-in-reverse,audio,16,lab,0.999999998059699
43,lab,supervisor,gest_verb,move-in-reverse,fused,14,lab,0.9999999998445459
44,lab,supervisor,gest_verb,move-in-reverse,clip,14,lab,1.0
45,lab,supervisor,gest_verb,move-in-reverse,audio,17,lab,0.9999999996153915
46,lab,supervisor,gest_verb,move-in-reverse,fused,15,lab,0.9999999999691856
47,lab,supervisor,gest_verb,move-in-reverse,clip,15,lab,1.0
48,lab,supervisor,gest_verb,move-in-reverse,audio,18,lab,0.9999999999549741
49,lab,supervisor,gest_verb,move-in-reverse,fused,16,lab,0.9999999999983871
50,lab,supervisor,gest_verb,move-in-reverse,clip,16,lab,1.0
51,lab,supervisor,gest_verb,move-in-reverse,audio,19,lab,0.9999999999950941
52,lab,supervisor,gest_verb,move-in-reverse,fused,17,lab,0.9999999999998241
53,lab,supervisor,gest_verb,move-in-reverse,clip,17,lab,1.0
54,lab,supervisor,gest_verb,move-in-reverse,audio,20,lab,0.9999999999992752
55,lab,supervisor,gest_verb,move-in-reverse,fused,18,lab,0.9999999999999903
56,lab,supervisor,gest_verb,move-in-reverse,audio,21,lab,0.9999999999998317
57,lab,supervisor,gest_verb,move-in-reverse,clip,18,lab,1.0
58,lab,supervisor,gest_verb,move-in-reverse,fused,19,lab,0.9999999999999977
59,lab,supervisor,gest_verb,move-in-reverse,audio,22,lab,0.9999999999999817
60,lab,supervisor,gest_verb,move-in-reverse,clip,19,lab,1.0
61,lab,supervisor,gest_verb,move-in-reverse,fused,20,lab,1.0
62,lab,supervisor,gest_verb,move-in-reverse,audio,23,lab,0.9999999999999969
63,lab,supervisor,gest_verb,move-in-reverse,clip,20,lab,1.0
64,lab,supervisor,gest_verb,move-in-reverse,fused,21,lab,1.0
65,lab,supervisor,gest_verb,move-in-reverse,audio,24,lab,0.9999999999999996
66,lab,supervisor,gest_verb,move-in-reverse,fused,22,lab,1.0
67,lab,supervisor,gest_verb,move-in-reverse,clip,21,lab,1.0
68,lab,supervisor,gest_verb,move-in-reverse,audio,25,lab,0.9999999999999999
69,lab,supervisor,gest_verb,move-in-reverse,fused,23,lab,1.0
70,lab,supervisor,gest_verb,move-in-reverse,clip,22,lab,1.0
71,lab,supervisor,gest_verb,move-in-reverse,audio,26,lab,1.0
72,lab,supervisor,gest_verb,move-in-reverse,fused,24,lab,1.0
73,lab,supervisor,gest_verb,move-in-reverse,clip,23,lab,1.0
74,lab,supervisor,gest_verb,move-in-reverse,audio,27,lab,1.0
75,lab,supervisor,gest_verb,move-in-reverse,fused,25,lab,1.0
76,lab,supervisor,gest_verb,move-in-reverse,clip,24,lab,1.0
77,lab,supervisor,gest_verb,move-in-reverse,audio,28,lab,1.0
78,lab,supervisor,gest_verb,move-in-reverse,fused,26,lab,1.0
79,lab,supervisor,gest_verb,move-in-reverse,clip,25,lab,1.0
80,lab,supervisor,gest_verb,move-in-reverse,audio,29,lab,1.0
81,lab,supervisor,gest_verb,move-in-reverse,fused,27,lab,1.0
82,lab,supervisor,gest_verb,move-in-reverse,clip,26,lab,1.0
83,lab,supervisor,gest_verb,move-in-reverse,audio,30,lab,1.0
84,lab,supervisor,gest_verb,move-in-reverse,fused,28,lab,1.0
85,lab,supervisor,gest_verb,move-forward,fused,1,lab,0.7219751798551421
86,lab,supervisor,gest_verb,move-forward,audio,1,lab,0.7786350194431707
87,lab,supervisor,gest_verb,move-forward,audio,2,lab,0.9689477826569208
88,lab,supervisor,gest_verb,move-forward,clip,1,lab,0.8927471409865373
89,lab,supervisor,gest_verb,move-forward,fused,2,lab,0.9848014688941883
90,lab,supervisor,gest_verb,move-forward,audio,3,lab,0.9919305065283933
91,lab,supervisor,gest_verb,move-forward,fused,3,lab,0.9949173745251364
92,lab,supervisor,gest_verb,move-forward,clip,2,lab,0.9939175323851936
93,lab,supervisor,gest_verb,move-forward,audio,4,lab,0.9985400862757841
94,lab,supervisor,gest_verb,move-forward,fused,4,lab,0.9997495574372871
95,lab,supervisor,gest_verb,move-forward,clip,3,lab,0.9997510928230299
96,lab,supervisor,gest_verb,move-forward,audio,5,lab,0.9991796911757788
97,lab,supervisor,gest_verb,move-forward,fused,5,lab,0.9998593049430358
98,lab,supervisor,gest_verb,move-forward,clip,4,lab,0.9999735358621223
99,lab,supervisor,gest_verb,move-forward,audio,6,lab,0.9974350192676998
100,lab,supervisor,gest_verb,move-forward,fused,6,lab,0.9999836746522258
101,lab,supervisor,gest_verb,move-forward,audio,7,lab,0.99855400271265
102,lab,supervisor,gest_verb,move-forward,clip,5,lab,0.9999992240667077
103,lab,supervisor,gest_verb,move-forward,audio,8,lab,0.9998488961301399
104,lab,supervisor,gest_verb,move-forward,fused,7,lab,0.9999991860031546
105,lab,supervisor,gest_verb,move-forward,clip,6,lab,0.9999999796348145
106,lab,supervisor,gest_verb,move-forward,audio,9,lab,0.9997621787494091
107,lab,supervisor,gest_verb,move-forward,fused,8,lab,0.9999999805727908
108,lab,supervisor,gest_verb,move-forward,clip,7,lab,0.999999999706347
109,lab,supervisor,gest_verb,move-forward,audio,10,lab,0.9999580030459339
110,lab,supervisor,gest_verb,move-forward,fused,9,lab,0.9999999971851059
111,lab,supervisor,gest_verb,move-forward,clip,8,lab,0.9999999999874756
112,lab,supervisor,gest_verb,move-forward,fused,10,lab,0.9999999998825447
113,lab,supervisor,gest_verb,move-forward,clip,9,lab,0.9999999999994053
114,lab,supervisor,gest_verb,move-forward,audio,11,lab,0.9999634483248726
115,lab,supervisor,gest_verb,move-forward,fused,11,lab,0.9999999999109306
116,lab,supervisor,gest_verb,move-forward,clip,10,lab,0.9999999999999447
117,lab,supervisor,gest_verb,move-forward,audio,12,lab,0.9999926170243267
118,lab,supervisor,gest_verb,move-forward,fused,12,lab,0.9999999999917366
119,lab,supervisor,gest_verb,move-forward,clip,11,lab,0.9999999999999982
120,lab,supervisor,gest_verb,move-forward,fused,13,lab,0.9999999999983027
121,lab,supervisor,gest_verb,move-forward,audio,13,lab,0.9999977056471971
122,lab,supervisor,gest_verb,move-forward,clip,12,lab,0.9999999999999999
123,lab,supervisor,gest_verb,move-forward,fused,14,lab,0.9999999999999293
124,lab,supervisor,gest_verb,move-forward,audio,14,lab,0.9999987439103261
125,lab,supervisor,gest_verb,move-forward,clip,13,lab,1.0
126,lab,supervisor,gest_verb,move-forward,fused,15,lab,0.9999999999999588
127,lab,supervisor,gest_verb,move-forward,audio,15,lab,0.9999970351145431
128,lab,supervisor,gest_verb,move-forward,clip,14,lab,1.0
129,lab,supervisor,gest_verb,move-forward,fused,16,lab,0.9999999999999989
130,lab,supervisor,gest_verb,move-forward,audio,16,lab,0.9999993804559826
131,lab,supervisor,gest_verb,move-forward,clip,15,lab,1.0
132,lab,supervisor,gest_verb,move-forward,fused,17,lab,0.9999999999999998
133,lab,supervisor,gest_verb,move-forward,audio,17,lab,0.9999993712030314
134,lab,supervisor,gest_verb,move-forward,clip,16,lab,1.0
135,lab,supervisor,gest_verb,move-forward,fused,18,lab,1.0
136,lab,supervisor,gest_verb,move-forward,fused,19,lab,1.0
137,lab,supervisor,gest_verb,move-forward,clip,17,lab,1.0
138,lab,supervisor,gest_verb,move-forward,audio,18,lab,0.9999999227453038
139,lab,supervisor,gest_verb,move-forward,fused,20,lab,1.0
140,lab,supervisor,gest_verb,move-forward,clip,18,lab,1.0
141,lab,supervisor,gest_verb,move-forward,audio,19,lab,0.9999999925550869
142,lab,supervisor,gest_verb,move-forward,fused,21,lab,1.0
143,lab,supervisor,gest_verb,move-forward,clip,19,lab,1.0
144,lab,supervisor,gest_verb,move-forward,fused,22,lab,1.0
145,lab,supervisor,gest_verb,move-forward,audio,20,lab,0.9999999967873922
146,lab,supervisor,gest_verb,move-forward,clip,20,lab,1.0
147,lab,supervisor,gest_verb,move-forward,fused,23,lab,1.0
148,lab,supervisor,gest_verb,move-forward,audio,21,lab,0.9999999995496544
149,lab,supervisor,gest_verb,move-forward,clip,21,lab,1.0
150,lab,supervisor,gest_verb,move-forward,fused,24,lab,1.0
151,lab,supervisor,gest_verb,move-forward,audio,22,lab,0.9999999999117754
152,lab,supervisor,gest_verb,move-forward,clip,22,lab,1.0
153,lab,supervisor,gest_verb,move-forward,audio,23,lab,0.9999999999303639
154,lab,supervisor,gest_verb,move-forward,fused,25,lab,1.0
155,lab,supervisor,gest_verb,move-forward,clip,23,lab,1.0
156,lab,supervisor,gest_verb,move-forward,audio,24,lab,0.9999999999895385
157,lab,supervisor,gest_verb,move-forward,fused,26,lab,1.0
158,lab,supervisor,gest_verb,move-forward,clip,24,lab,1.0
159,lab,supervisor,gest_verb,move-forward,fused,27,lab,1.0
160,lab,supervisor,gest_verb,move-forward,audio,25,lab,0.9999999999981865
161,lab,supervisor,gest_verb,move-forward,clip,25,lab,1.0
162,lab,supervisor,gest_verb,move-forward,fused,28,lab,1.0
163,lab,supervisor,gest_verb,move-forward,audio,26,lab,0.9999999999996242
164,lab,supervisor,gest_verb,move-forward,clip,26,lab,1.0
165,lab,supervisor,gest_verb,move-forward,fused,29,lab,1.0
166,lab,supervisor,gest_verb,follow-me,fused,1,lab,0.7021413856368327
167,lab,supervisor,gest_verb,follow-me,audio,1,lab,0.6632422270868751
168,lab,supervisor,gest_verb,follow-me,clip,1,lab,0.7094020469908073
169,lab,supervisor,gest_verb,follow-me,audio,2,lab,0.9799148777257973
170,lab,supervisor,gest_verb,follow-me,audio,3,lab,0.9969846611506844
171,lab,supervisor,gest_verb,follow-me,fused,2,lab,0.9403164096016366
172,lab,supervisor,gest_verb,follow-me,audio,4,lab,0.9992664520955135
173,lab,supervisor,gest_verb,follow-me,clip,2,lab,0.9673006297524804
174,lab,supervisor,gest_verb,follow-me,fused,3,lab,0.9948006482220801
175,lab,supervisor,gest_verb,follow-me,audio,5,lab,0.9999124033939327
176,lab,supervisor,gest_verb,follow-me,clip,3,lab,0.9992012853079816
177,lab,supervisor,gest_verb,follow-me,fused,4,lab,0.9993885656813276
178,lab,supervisor,gest_verb,follow-me,audio,6,lab,0.999992075558135
179,lab,supervisor,gest_verb,follow-me,clip,4,lab,0.9999542430365489
180,lab,supervisor,gest_verb,follow-me,fused,5,lab,0.9999638442979863
181,lab,supervisor,gest_verb,follow-me,audio,7,lab,0.9999994105836467
182,lab,supervisor,gest_verb,follow-me,clip,5,lab,0.9999918892717389
183,lab,supervisor,gest_verb,follow-me,fused,6,lab,0.9999979747517478
184,lab,supervisor,gest_verb,follow-me,audio,8,lab,0.9999999354599813
185,lab,supervisor,gest_verb,follow-me,clip,6,lab,0.9999994349178488
186,lab,supervisor,gest_verb,follow-me,fused,7,lab,0.9999998434449726
187,lab,supervisor,gest_verb,follow-me,audio,9,lab,0.9999999926942967
188,lab,supervisor,gest_verb,follow-me,clip,7,lab,0.9999999484463199
189,lab,supervisor,gest_verb,follow-me,fused,8,lab,0.9999999815978838
190,lab,supervisor,gest_verb,follow-me,audio,10,lab,0.9999999984629759
191,lab,supervisor,gest_verb,follow-me,clip,8,lab,0.9999999970698065
192,lab,supervisor,gest_verb,follow-me,fused,9,lab,0.9999999988837938
