,scene,role,cmd_mode,cmd,scene_estimation_mode,n_updates,scene_est,scene_conf
0,lab,supervisor,gest_verb,move-in-reverse,clip,1,lab,0.5599018117120018
1,lab,supervisor,gest_verb,move-in-reverse,audio,1,lobby,0.7014185877593063
2,lab,supervisor,gest_verb,move-in-reverse,fused,1,lobby,0.7014185877593063
3,lab,supervisor,gest_verb,move-in-reverse,clip,2,lab,0.883950492165364
4,lab,supervisor,gest_verb,move-in-reverse,audio,2,lab,0.6373659203661007
5,lab,supervisor,gest_verb,move-in-reverse,fused,2,lab,0.6367776072363592
6,lab,supervisor,gest_verb,move-in-reverse,clip,3,lab,0.9747703325057642
7,lab,supervisor,gest_verb,move-in-reverse,audio,3,lab,0.9209555549199179
8,lab,supervisor,gest_verb,move-in-reverse,fused,3,lab,0.9259475533981232
9,lab,supervisor,gest_verb,move-in-reverse,audio,4,lab,0.9331377618477379
10,lab,supervisor,gest_verb,move-in-reverse,clip,4,lab,0.9914421101718582
11,lab,supervisor,gest_verb,move-in-reverse,fused,4,lab,0.9838770200726081
12,lab,supervisor,gest_verb,move-in-reverse,audio,5,lab,0.916290404208346
13,lab,supervisor,gest_verb,move-in-reverse,clip,5,lab,0.9976207579339925
14,lab,supervisor,gest_verb,move-in-reverse,fused,5,lab,0.9843802657896976
15,lab,supervisor,gest_verb,move-in-reverse,audio,6,lab,0.987239902855625
16,lab,supervisor,gest_verb,move-in-reverse,clip,6,lab,0.9994215771240272
17,lab,supervisor,gest_verb,move-in-reverse,fused,6,lab,0.9980034793998894
18,lab,supervisor,gest_verb,move-in-reverse,audio,7,lab,0.8961503117957373
19,lab,supervisor,gest_verb,move-in-reverse,clip,7,lab,0.9998537019205258
20,lab,supervisor,gest_verb,move-in-reverse,fused,7,lab,0.9966410409239915
21,lab,supervisor,gest_verb,move-in-reverse,audio,8,lab,0.9868778473942115
22,lab,supervisor,gest_verb,move-in-reverse,clip,8,lab,0.9999642728550597
23,lab,supervisor,gest_verb,move-in-reverse,fused,8,lab,0.9997146014035154
24,lab,supervisor,gest_verb,move-in-reverse,audio,9,lab,0.9932535218130717
25,lab,supervisor,gest_verb,move-in-reverse,clip,9,lab,0.9999902838743835
26,lab,supervisor,gest_verb,move-in-reverse,fused,9,lab,0.9998971497417237
27,lab,supervisor,gest_verb,move-in-reverse,audio,10,lab,0.9986715820480316
