,scene,role,cmd_mode,cmd,scene_estimation_mode,n_updates,scene_est,scene_conf
0,lobby,teammate,gesture,attention,fused,30,lobby,0.9999929332080892
1,lab,supervisor,gest_verb,move-in-reverse,clip,1,lab,0.5254877747817339
2,lab,supervisor,gest_verb,move-in-reverse,audio,1,lab,0.8136290355281195
3,lab,supervisor,gest_verb,move-in-reverse,audio,2,lab,0.8842959338720949
4,lab,supervisor,gest_verb,move-in-reverse,audio,3,lab,0.8336707371716034
5,lab,supervisor,gest_verb,move-in-reverse,fused,1,lab,0.5254877747817339
6,lab,supervisor,gest_verb,move-in-reverse,clip,2,lab,0.5691738043321292
7,lab,supervisor,gest_verb,move-in-reverse,audio,4,lab,0.986318899176405
8,lab,supervisor,gest_verb,move-in-reverse,fused,2,lab,0.9223307676146566
9,lab,supervisor,gest_verb,move-in-reverse,clip,3,lab,0.6082134719725454
10,lab,supervisor,gest_verb,move-in-reverse,audio,5,lab,0.9982166285812808
11,lab,supervisor,gest_verb,move-in-reverse,fused,3,lab,0.9333714473065379
12,lab,supervisor,gest_verb,move-in-reverse,clip,4,lab,0.6420797280811432
13,lab,supervisor,gest_verb,move-in-reverse,audio,6,lab,0.9993405769875697
14,lab,supervisor,gest_verb,move-in-reverse,fused,4,lab,0.974418751539725
15,lab,supervisor,gest_verb,move-in-reverse,audio,7,lab,0.9989488895360195
16,lab,supervisor,gest_verb,move-in-reverse,clip,5,lab,0.672064270340565
17,lab,supervisor,gest_verb,move-in-reverse,fused,5,lab,0.9775360266266504
18,lab,supervisor,gest_verb,move-in-reverse,audio,8,lab,0.9998870718319502
19,lab,supervisor,gest_verb,move-in-reverse,clip,6,lab,0.7065816365060786
20,lab,supervisor,gest_verb,move-in-reverse,fused,6,lab,0.9975280107532133
21,lab,supervisor,gest_verb,move-in-reverse,audio,9,lab,0.9998964407545412
22,lab,supervisor,gest_verb,move-in-reverse,clip,7,lab,0.7381643450013171
23,lab,supervisor,gest_verb,move-in-reverse,fused,7,lab,0.9978877082334104
24,lab,supervisor,gest_verb,move-in-reverse,audio,10,lab,0.99998370453302
25,lab,supervisor,gest_verb,move-in-reverse,clip,8,lab,0.7683830801487165
26,lab,supervisor,gest_verb,move-in-reverse,fused,8,lab,0.999667350814164
27,lab,supervisor,gest_verb,move-in-reverse,audio,11,lab,0.9999960161525502
