,scene,role,cmd_mode,cmd,scene_estimation_mode,n_updates,scene_est,scene_conf
0,lobby,teammate,gesture,attention,fused,30,lobby,0.9999999977091363
1,lab,supervisor,gest_verb,move-in-reverse,clip,1,lab,0.6930210342727986
2,lab,supervisor,gest_verb,move-in-reverse,audio,1,lab,0.7799537955271564
3,lab,supervisor,gest_verb,move-in-reverse,audio,2,lab,0.9693763489338512
4,lab,supervisor,gest_verb,move-in-reverse,audio,3,lab,0.9752308248932354
5,lab,supervisor,gest_verb,move-in-reverse,fused,1,lobby,0.39629873280887207
6,lab,supervisor,gest_verb,move-in-reverse,clip,2,lab,0.9741385071690767
7,lab,supervisor,gest_verb,move-in-reverse,audio,4,lab,0.9978930507080975
8,lab,supervisor,gest_verb,move-in-reverse,fused,2,lab,0.8921010138390724
9,lab,supervisor,gest_verb,move-in-reverse,clip,3,lab,0.9993350693007944
10,lab,supervisor,gest_verb,move-in-reverse,audio,5,lab,0.9958453513818734
11,lab,supervisor,gest_verb,move-in-reverse,fused,3,lab,0.830826035975002
12,lab,supervisor,gest_verb,move-in-reverse,audio,6,lab,0.9986002440148792
13,lab,supervisor,gest_verb,move-in-reverse,clip,4,lab,0.9999045620525587
14,lab,supervisor,gest_verb,move-in-reverse,fused,4,lab,0.9719459289353184
15,lab,supervisor,gest_verb,move-in-reverse,audio,7,lab,0.9996574516801413
16,lab,supervisor,gest_verb,move-in-reverse,clip,5,lab,0.9999910693996946
17,lab,supervisor,gest_verb,move-in-reverse,fused,5,lab,0.9938365436949551
18,lab,supervisor,gest_verb,move-in-reverse,audio,8,lab,0.999944911522626
19,lab,supervisor,gest_verb,move-in-reverse,fused,6,lab,0.99939842467474
20,lab,supervisor,gest_verb,move-in-reverse,clip,6,lab,0.9999997484151452
21,lab,supervisor,gest_verb,move-in-reverse,audio,9,lab,0.9999720628927868
22,lab,supervisor,gest_verb,move-in-reverse,fused,7,lab,0.9997298885328965
23,lab,supervisor,gest_verb,move-in-reverse,clip,7,lab,0.9999999882523726
24,lab,supervisor,gest_verb,move-in-reverse,audio,10,lab,0.9999969105010446
25,lab,supervisor,gest_verb,move-in-reverse,fused,8,lab,0.9999861337349275
26,lab,supervisor,gest_verb,move-in-reverse,clip,8,lab,0.9999999997618866
27,lab,supervisor,gest_verb,move-in-reverse,audio,11,lab,0.9999992631502036
28,lab,supervisor,gest_verb,move-in-reverse,fused,9,lab,0.9999967099928262
29,lab,supervisor,gest_verb,move-in-reverse,clip,9,lab,0.99999999997782
30,lab,supervisor,gest_verb,move-in-reverse,audio,12,lab,0.9999996662982303
31,lab,supervisor,gest_verb,move-in-reverse,fused,10,lab,0.9999996804401771
32,lab,supervisor,gest_verb,move-in-reverse,clip,10,lab,0.9999999999983691
33,lab,supervisor,gest_verb,move-in-reverse,audio,13,lab,0.9999999600949904
