,scene,role,cmd_mode,cmd,scene_estimation_mode,n_updates,scene_est,scene_conf
0,lobby,teammate,verbal,attention,fused,30,lobby,0.9999999999993205
1,lab,supervisor,verbal,move-in-reverse,audio,1,lab,0.8401909664801587
2,lab,supervisor,verbal,move-in-reverse,audio,2,lab,0.8401909664801587
3,lab,supervisor,verbal,move-in-reverse,audio,3,lab,0.9803487804961898
4,lab,supervisor,verbal,move-in-reverse,audio,4,lab,0.9803487804961898
5,lab,supervisor,verbal,move-in-reverse,clip,1,lab,0.618763185740538
6,lab,supervisor,verbal,move-in-reverse,clip,2,lab,0.8467355018807873
7,lab,supervisor,verbal,move-in-reverse,clip,3,lab,0.618763185740538
8,lab,supervisor,verbal,move-in-reverse,clip,4,lab,0.8467355018807873
9,lab,supervisor,verbal,move-in-reverse,audio,5,lab,0.9984945731983741
10,lab,supervisor,verbal,move-in-reverse,audio,6,lab,0.9984945731983741
11,lab,supervisor,verbal,move-in-reverse,audio,7,lab,0.9998652650775796
12,lab,supervisor,verbal,move-in-reverse,audio,8,lab,0.9998652650775796
13,lab,supervisor,verbal,move-in-reverse,audio,9,lab,0.9999827457100007
14,lab,supervisor,verbal,move-in-reverse,audio,10,lab,0.9999827457100007
15,lab,supervisor,verbal,move-in-reverse,audio,11,lab,0.9999981800695881
16,lab,supervisor,verbal,move-in-reverse,audio,12,lab,0.9999981800695881
17,lab,supervisor,verbal,move-in-reverse,fused,1,lab,0.7893799447986506
18,lab,supervisor,verbal,move-in-reverse,clip,5,lab,0.9614789979973657
19,lab,supervisor,verbal,move-in-reverse,clip,6,lab,0.9614789979973657
20,lab,supervisor,verbal,move-in-reverse,clip,7,lab,0.9907909598712277
21,lab,supervisor,verbal,move-in-reverse,clip,8,lab,0.9907909598712277
22,lab,supervisor,verbal,move-in-reverse,audio,13,lab,0.999999683760816
23,lab,supervisor,verbal,move-in-reverse,audio,14,lab,0.999999683760816
24,lab,supervisor,verbal,move-in-reverse,audio,15,lab,0.9999999369262209
25,lab,supervisor,verbal,move-in-reverse,audio,16,lab,0.9999999369262209
26,lab,supervisor,verbal,move-in-reverse,fused,2,lab,0.9548634140967692
27,lab,supervisor,verbal,move-in-reverse,clip,9,lab,0.9964602969455673
28,lab,supervisor,verbal,move-in-reverse,clip,10,lab,0.9964602969455673
29,lab,supervisor,verbal,move-in-reverse,clip,11,lab,0.9985989040711457
30,lab,supervisor,verbal,move-in-reverse,clip,12,lab,0.9985989040711457
31,lab,supervisor,verbal,move-in-reverse,audio,17,lab,0.9999999930458184
32,lab,supervisor,verbal,move-in-reverse,audio,18,lab,0.9999999930458184
33,lab,supervisor,verbal,move-in-reverse,audio,19,lab,0.999999996978216
34,lab,supervisor,verbal,move-in-reverse,audio,20,lab,0.999999996978216
35,lab,supervisor,verbal,move-in-reverse,fused,3,lab,0.9810946273669444
36,lab,supervisor,verbal,move-in-reverse,clip,13,lab,0.9996366850126325
