,config,scene,role,cmd_mode,cmd,role rec method,cmd rec method,stamp,object id,object class,estimated role,estimated command
0,config/exp2_cfgs/exp2_ar_role_verbal_cmd_music.yaml,lab,supervisor,verbal,move-in-reverse,artag,verbal,0.0,,,,
1,config/exp2_cfgs/exp2_ar_role_verbal_cmd_music.yaml,lab,supervisor,verbal,move-in-reverse,artag,verbal,0.0,,,,
2,config/exp2_cfgs/exp2_ar_role_verbal_cmd_music.yaml,lab,supervisor,verbal,move-in-reverse,artag,verbal,0.0,,,,
3,config/exp2_cfgs/exp2_ar_role_verbal_cmd_music.yaml,lab,supervisor,verbal,move-in-reverse,artag,verbal,1720995143.5623195,1,person,supervisor,move-forward
4,config/exp2_cfgs/exp2_ar_role_verbal_cmd_music.yaml,lab,supervisor,verbal,move-in-reverse,artag,verbal,1720995144.5623167,1,person,supervisor,none
5,config/exp2_cfgs/exp2_ar_role_verbal_cmd_music.yaml,lab,supervisor,verbal,move-in-reverse,artag,verbal,1720995145.628979,1,person,supervisor,none
6,config/exp2_cfgs/exp2_ar_role_verbal_cmd_music.yaml,lab,supervisor,verbal,move-in-reverse,artag,verbal,1720995146.5623004,1,person,supervisor,none
7,config/exp2_cfgs/exp2_ar_role_verbal_cmd_music.yaml,lab,supervisor,verbal,move-in-reverse,artag,verbal,1720995147.6289833,1,person,supervisor,none
8,config/exp2_cfgs/exp2_ar_role_verbal_cmd_music.yaml,lab,supervisor,verbal,move-in-reverse,artag,verbal,1720995148.5623066,1,person,supervisor,none
9,config/exp2_cfgs/exp2_ar_role_verbal_cmd_music.yaml,lab,supervisor,verbal,move-in-reverse,artag,verbal,1720995149.59563,1,person,supervisor,none
10,config/exp2_cfgs/exp2_ar_role_verbal_cmd_music.yaml,lab,supervisor,verbal,move-in-reverse,artag,verbal,1720995150.6289465,1,person,supervisor,none
11,config/exp2_cfgs/exp2_ar_role_verbal_cmd_music.yaml,lab,supervisor,verbal,move-in-reverse,artag,verbal,1720995151.5289772,1,person,supervisor,none
12,config/exp2_cfgs/exp2_ar_role_verbal_cmd_music.yaml,lab,supervisor,verbal,move-in-reverse,artag,verbal,1720995152.5289562,1,person,supervisor,none
13,config/exp2_cfgs/exp2_ar_role_verbal_cmd_music.yaml,lab,supervisor,verbal,move-in-reverse,artag,verbal,1720995153.6289618,1,person,supervisor,none
14,config/exp2_cfgs/exp2_ar_role_verbal_cmd_music.yaml,lab,supervisor,verbal,move-in-reverse,artag,verbal,1720995154.562282,1,person,supervisor,none
15,config/exp2_cfgs/exp2_ar_role_verbal_cmd_music.yaml,lab,supervisor,verbal,move-in-reverse,artag,verbal,1720995155.6956296,1,person,supervisor,move-in-reverse
16,config/exp2_cfgs/exp2_ar_role_verbal_cmd_music.yaml,lab,supervisor,verbal,move-in-reverse,artag,verbal,1720995156.6289449,1,person,supervisor,none
17,config/exp2_cfgs/exp2_ar_role_verbal_cmd_music.yaml,lab,supervisor,verbal,move-in-reverse,artag,verbal,1720995157.5955384,1,person,supervisor,none
18,config/exp2_cfgs/exp2_ar_role_verbal_cmd_music.yaml,lab,supervisor,verbal,move-in-reverse,artag,verbal,1720995158.5288713,1,person,supervisor,none
19,config/exp2_cfgs/exp2_ar_role_verbal_cmd_music.yaml,lab,supervisor,verbal,move-in-reverse,artag,verbal,1720995159.628872,1,person,supervisor,none
20,config/exp2_cfgs/exp2_ar_role_verbal_cmd_music.yaml,lab,supervisor,verbal,move-in-reverse,artag,verbal,1720995160.5955312,1,person,supervisor,none
21,config/exp2_cfgs/exp2_ar_role_verbal_cmd_music.yaml,lab,supervisor,verbal,move-in-reverse,artag,verbal,1720995161.5621898,1,person,supervisor,none
22,config/exp2_cfgs/exp2_ar_role_verbal_cmd_music.yaml,lab,supervisor,verbal,move-in-reverse,artag,verbal,1720995162.628878,1,person,supervisor,none
23,config/exp2_cfgs/exp2_ar_role_verbal_cmd_music.yaml,lab,supervisor,verbal,move-in-reverse,artag,verbal,1720995163.6622028,1,person,supervisor,none
24,config/exp2_cfgs/exp2_ar_role_verbal_cmd_music.yaml,lab,supervisor,verbal,move-in-reverse,artag,verbal,1720995164.6621969,1,person,supervisor,none
25,config/exp2_cfgs/exp2_ar_role_verbal_cmd_music.yaml,lab,supervisor,verbal,move-in-reverse,artag,verbal,1720995165.5288408,1,person,supervisor,none
26,config/exp2_cfgs/exp2_ar_role_verbal_cmd_music.yaml,lab,supervisor,verbal,move-in-reverse,artag,verbal,1720995166.595499,1,person,supervisor,none
27,config/exp2_cfgs/exp2_ar_role_verbal_cmd_music.yaml,lab,supervisor,verbal,move-in-reverse,artag,verbal,1720995167.595479,1,person,supervisor,none
28,config/exp2_cfgs/exp2_ar_role_verbal_cmd_music.yaml,lab,supervisor,verbal,move-in-reverse,artag,verbal,1720995168.5955052,1,person,supervisor,none
29,config/exp2_cfgs/exp2_ar_role_verbal_cmd_music.yaml,lab,supervisor,verbal,move-in-reverse,artag,verbal,1720995169.6621723,1,person,supervisor,none
30,config/exp2_cfgs/exp2_ar_role_verbal_cmd_music.yaml,lab,supervisor,verbal,move-forward,artag,verbal,1720995169.9621842,1,person,supervisor,none
31,config/exp2_cfgs/exp2_ar_role_verbal_cmd_music.yaml,lab,supervisor,verbal,move-forward,artag,verbal,1720995169.9621842,1,person,supervisor,none
32,config/exp2_cfgs/exp2_ar_role_verbal_cmd_music.yaml,lab,supervisor,verbal,move-forward,artag,verbal,1720995054.9961216,1,person,supervisor,none
33,config/exp2_cfgs/exp2_ar_role_verbal_cmd_music.yaml,lab,supervisor,verbal,move-forward,artag,verbal,1720995056.029472,1,person,supervisor,none
34,config/exp2_cfgs/exp2_ar_role_verbal_cmd_music.yaml,lab,supervisor,verbal,move-forward,artag,verbal,1720995057.0294466,1,person,supervisor,none
35,config/exp2_cfgs/exp2_ar_role_verbal_cmd_music.yaml,lab,supervisor,verbal,move-forward,artag,verbal,1720995058.0294578,1,person,supervisor,none
36,config/exp2_cfgs/exp2_ar_role_verbal_cmd_music.yaml,lab,supervisor,verbal,move-forward,artag,verbal,1720995059.0294657,1,person,supervisor,none
37,config/exp2_cfgs/exp2_ar_role_verbal_cmd_music.yaml,lab,supervisor,verbal,move-forward,artag,verbal,1720995059.9627857,1,person,supervisor,none
38,config/exp2_cfgs/exp2_ar_role_verbal_cmd_music.yaml,lab,supervisor,verbal,move-forward,artag,verbal,1720995060.9961188,1,person,supervisor,none
39,config/exp2_cfgs/exp2_ar_role_verbal_cmd_music.yaml,lab,supervisor,verbal,move-forward,artag,verbal,1720995061.9961128,1,person,supervisor,move-forward
40,config/exp2_cfgs/exp2_ar_role_verbal_cmd_music.yaml,lab,supervisor,verbal,move-forward,artag,verbal,1720995063.062778,1,person,supervisor,none
41,config/exp2_cfgs/exp2_ar_role_verbal_cmd_music.yaml,lab,supervisor,verbal,move-forward,artag,verbal,1720995064.02945,1,person,supervisor,none
42,config/exp2_cfgs/exp2_ar_role_verbal_cmd_music.yaml,lab,supervisor,verbal,move-forward,artag,verbal,1720995064.9960945,1,person,supervisor,none
43,config/exp2_cfgs/exp2_ar_role_verbal_cmd_music.yaml,lab,supervisor,verbal,move-forward,artag,verbal,1720995066.0627756,1,person,supervisor,none
44,config/exp2_cfgs/exp2_ar_role_verbal_cmd_music.yaml,lab,supervisor,verbal,move-forward,artag,verbal,1720995066.9960988,1,person,supervisor,none
45,config/exp2_cfgs/exp2_ar_role_verbal_cmd_music.yaml,lab,supervisor,verbal,move-forward,artag,verbal,1720995068.0294309,1,person,supervisor,none
46,config/exp2_cfgs/exp2_ar_role_verbal_cmd_music.yaml,lab,supervisor,verbal,move-forward,artag,verbal,1720995068.9294293,1,person,supervisor,none
47,config/exp2_cfgs/exp2_ar_role_verbal_cmd_music.yaml,lab,supervisor,verbal,move-forward,artag,verbal,1720995070.0294952,1,person,supervisor,none
48,config/exp2_cfgs/exp2_ar_role_verbal_cmd_music.yaml,lab,supervisor,verbal,move-forward,artag,verbal,1720995071.029397,1,person,supervisor,none
49,config/exp2_cfgs/exp2_ar_role_verbal_cmd_music.yaml,lab,supervisor,verbal,move-forward,artag,verbal,1720995072.029397,1,person,supervisor,none
50,config/exp2_cfgs/exp2_ar_role_verbal_cmd_music.yaml,lab,supervisor,verbal,move-forward,artag,verbal,1720995073.0293941,1,person,supervisor,none
51,config/exp2_cfgs/exp2_ar_role_verbal_cmd_music.yaml,lab,supervisor,verbal,move-forward,artag,verbal,1720995074.0294042,1,person,supervisor,none
52,config/exp2_cfgs/exp2_ar_role_verbal_cmd_music.yaml,lab,supervisor,verbal,move-forward,artag,verbal,1720995075.0293891,1,person,supervisor,none
53,config/exp2_cfgs/exp2_ar_role_verbal_cmd_music.yaml,lab,supervisor,verbal,move-forward,artag,verbal,1720995076.0627108,1,person,supervisor,none
54,config/exp2_cfgs/exp2_ar_role_verbal_cmd_music.yaml,lab,supervisor,verbal,move-forward,artag,verbal,1720995076.962726,1,person,supervisor,none
55,config/exp2_cfgs/exp2_ar_role_verbal_cmd_music.yaml,lab,supervisor,verbal,move-forward,artag,verbal,1720995077.96273,1,person,supervisor,none
56,config/exp2_cfgs/exp2_ar_role_verbal_cmd_music.yaml,lab,supervisor,verbal,move-forward,artag,verbal,1720995079.0293598,1,person,supervisor,none
57,config/exp2_cfgs/exp2_ar_role_verbal_cmd_music.yaml,lab,supervisor,verbal,move-forward,artag,verbal,1720995079.9960182,1,person,supervisor,none
58,config/exp2_cfgs/exp2_ar_role_verbal_cmd_music.yaml,lab,supervisor,verbal,move-forward,artag,verbal,1720995080.9960117,1,person,supervisor,none
59,config/exp2_cfgs/exp2_ar_role_verbal_cmd_music.yaml,lab,supervisor,verbal,follow-me,artag,verbal,1720995081.9960127,1,person,supervisor,none
60,config/exp2_cfgs/exp2_ar_role_verbal_cmd_music.yaml,lab,supervisor,verbal,follow-me,artag,verbal,1720995081.9960127,1,person,supervisor,none
61,config/exp2_cfgs/exp2_ar_role_verbal_cmd_music.yaml,lab,supervisor,verbal,follow-me,artag,verbal,1720994448.4670637,0,person,supervisor,none
