,config,scene,role,cmd_mode,cmd,role rec method,cmd rec method,stamp,object id,object class,estimated role,estimated command
0,config/exp2_cfgs/exp2_ar_role_gesture_cmd.yaml,courtyard,supervisor,gest_verb,move-in-reverse,visual,gesture,0.0,,,,
1,config/exp2_cfgs/exp2_ar_role_gesture_cmd.yaml,courtyard,supervisor,gest_verb,move-in-reverse,visual,gesture,0.0,,,,
2,config/exp2_cfgs/exp2_ar_role_gesture_cmd.yaml,courtyard,supervisor,gest_verb,move-in-reverse,visual,gesture,0.0,,,,
3,config/exp2_cfgs/exp2_ar_role_gesture_cmd.yaml,courtyard,supervisor,gest_verb,move-in-reverse,visual,gesture,0.0,,,,
4,config/exp2_cfgs/exp2_ar_role_gesture_cmd.yaml,courtyard,supervisor,gest_verb,move-in-reverse,visual,gesture,0.0,,,,
5,config/exp2_cfgs/exp2_ar_role_gesture_cmd.yaml,courtyard,supervisor,gest_verb,move-in-reverse,visual,gesture,0.0,,,,
6,config/exp2_cfgs/exp2_ar_role_gesture_cmd.yaml,courtyard,supervisor,gest_verb,move-in-reverse,visual,gesture,0.0,,,,
7,config/exp2_cfgs/exp2_ar_role_gesture_cmd.yaml,courtyard,supervisor,gest_verb,move-in-reverse,visual,gesture,0.0,,,,
8,config/exp2_cfgs/exp2_ar_role_gesture_cmd.yaml,courtyard,supervisor,gest_verb,move-in-reverse,visual,gesture,0.0,,,,
9,config/exp2_cfgs/exp2_ar_role_gesture_cmd.yaml,courtyard,supervisor,gest_verb,move-in-reverse,visual,gesture,0.0,,,,
10,config/exp2_cfgs/exp2_ar_role_gesture_cmd.yaml,courtyard,supervisor,gest_verb,move-in-reverse,visual,gesture,0.0,,,,
11,config/exp2_cfgs/exp2_ar_role_gesture_cmd.yaml,courtyard,supervisor,gest_verb,move-in-reverse,visual,gesture,0.0,,,,
12,config/exp2_cfgs/exp2_ar_role_gesture_cmd.yaml,courtyard,supervisor,gest_verb,move-in-reverse,visual,gesture,0.0,,,,
13,config/exp2_cfgs/exp2_ar_role_gesture_cmd.yaml,courtyard,supervisor,gest_verb,move-in-reverse,visual,gesture,0.0,,,,
14,config/exp2_cfgs/exp2_ar_role_gesture_cmd.yaml,courtyard,supervisor,gest_verb,move-in-reverse,visual,gesture,0.0,,,,
15,config/exp2_cfgs/exp2_ar_role_gesture_cmd.yaml,courtyard,supervisor,gest_verb,move-in-reverse,visual,gesture,1722026380.375176,0,person,pedestrian,none
16,config/exp2_cfgs/exp2_ar_role_gesture_cmd.yaml,courtyard,supervisor,gest_verb,move-in-reverse,visual,gesture,1722026380.375176,0,person,pedestrian,none
17,config/exp2_cfgs/exp2_ar_role_gesture_cmd.yaml,courtyard,supervisor,gest_verb,move-in-reverse,visual,gesture,1722026380.375176,0,person,pedestrian,none
18,config/exp2_cfgs/exp2_ar_role_gesture_cmd.yaml,courtyard,supervisor,gest_verb,move-in-reverse,visual,gesture,1722026380.375176,0,person,pedestrian,none
19,config/exp2_cfgs/exp2_ar_role_gesture_cmd.yaml,courtyard,supervisor,gest_verb,move-in-reverse,visual,gesture,1722026380.375176,0,person,pedestrian,none
20,config/exp2_cfgs/exp2_ar_role_gesture_cmd.yaml,courtyard,supervisor,gest_verb,move-in-reverse,visual,gesture,1722026380.375176,0,person,pedestrian,none
21,config/exp2_cfgs/exp2_ar_role_gesture_cmd.yaml,courtyard,supervisor,gest_verb,move-in-reverse,visual,gesture,1722026380.375176,0,person,pedestrian,none
