,config,scene,role,cmd_mode,cmd,role rec method,cmd rec method,stamp,object id,object class,estimated role,estimated command
0,config/exp2_cfgs/exp2_vis_role_ar_cmd.yaml,lab,supervisor,gest_verb,move-in-reverse,visual,artag,0.0,,,,
1,config/exp2_cfgs/exp2_vis_role_ar_cmd.yaml,lab,supervisor,gest_verb,move-in-reverse,visual,artag,0.0,,,,
2,config/exp2_cfgs/exp2_vis_role_ar_cmd.yaml,lab,supervisor,gest_verb,move-in-reverse,visual,artag,1720996713.1455114,0,person,pedestrian,none
3,config/exp2_cfgs/exp2_vis_role_ar_cmd.yaml,lab,supervisor,gest_verb,move-in-reverse,visual,artag,1720996713.1455114,0,person,pedestrian,none
4,config/exp2_cfgs/exp2_vis_role_ar_cmd.yaml,lab,supervisor,gest_verb,move-in-reverse,visual,artag,1720996713.1455114,0,person,pedestrian,none
5,config/exp2_cfgs/exp2_vis_role_ar_cmd.yaml,lab,supervisor,gest_verb,move-in-reverse,visual,artag,1720996719.0123403,0,person,pedestrian,none
6,config/exp2_cfgs/exp2_vis_role_ar_cmd.yaml,lab,supervisor,gest_verb,move-in-reverse,visual,artag,1720996720.0456579,0,person,pedestrian,none
7,config/exp2_cfgs/exp2_vis_role_ar_cmd.yaml,lab,supervisor,gest_verb,move-in-reverse,visual,artag,1720996721.1123295,0,person,pedestrian,none
8,config/exp2_cfgs/exp2_vis_role_ar_cmd.yaml,lab,supervisor,gest_verb,move-in-reverse,visual,artag,1720996722.0789893,0,person,supervisor,none
9,config/exp2_cfgs/exp2_vis_role_ar_cmd.yaml,lab,supervisor,gest_verb,move-in-reverse,visual,artag,1720996722.9789903,0,person,supervisor,none
10,config/exp2_cfgs/exp2_vis_role_ar_cmd.yaml,lab,supervisor,gest_verb,move-in-reverse,visual,artag,1720996724.045667,0,person,pedestrian,none
11,config/exp2_cfgs/exp2_vis_role_ar_cmd.yaml,lab,supervisor,gest_verb,move-in-reverse,visual,artag,1720996725.0456614,0,person,pedestrian,none
12,config/exp2_cfgs/exp2_vis_role_ar_cmd.yaml,lab,supervisor,gest_verb,move-in-reverse,visual,artag,1720996726.1124115,0,person,pedestrian,none
13,config/exp2_cfgs/exp2_vis_role_ar_cmd.yaml,lab,supervisor,gest_verb,move-in-reverse,visual,artag,1720996726.9790845,0,person,supervisor,none
14,config/exp2_cfgs/exp2_vis_role_ar_cmd.yaml,lab,supervisor,gest_verb,move-in-reverse,visual,artag,1720996728.0790737,0,person,supervisor,none
15,config/exp2_cfgs/exp2_vis_role_ar_cmd.yaml,lab,supervisor,gest_verb,move-in-reverse,visual,artag,1720996729.0457382,0,person,supervisor,none
16,config/exp2_cfgs/exp2_vis_role_ar_cmd.yaml,lab,supervisor,gest_verb,move-in-reverse,visual,artag,1720996730.0790772,0,person,pedestrian,none
17,config/exp2_cfgs/exp2_vis_role_ar_cmd.yaml,lab,supervisor,gest_verb,move-in-reverse,visual,artag,1720996731.0790796,0,person,pedestrian,none
18,config/exp2_cfgs/exp2_vis_role_ar_cmd.yaml,lab,supervisor,gest_verb,move-in-reverse,visual,artag,1720996732.1124165,0,person,pedestrian,none
19,config/exp2_cfgs/exp2_vis_role_ar_cmd.yaml,lab,supervisor,gest_verb,move-in-reverse,visual,artag,1720996733.0790787,0,person,supervisor,none
20,config/exp2_cfgs/exp2_vis_role_ar_cmd.yaml,lab,supervisor,gest_verb,move-in-reverse,visual,artag,1720996734.179159,0,person,pedestrian,none
21,config/exp2_cfgs/exp2_vis_role_ar_cmd.yaml,lab,supervisor,gest_verb,move-in-reverse,visual,artag,1720996735.0791373,0,person,pedestrian,none
22,config/exp2_cfgs/exp2_vis_role_ar_cmd.yaml,lab,supervisor,gest_verb,move-in-reverse,visual,artag,1720996736.012481,0,person,pedestrian,none
23,config/exp2_cfgs/exp2_vis_role_ar_cmd.yaml,lab,supervisor,gest_verb,move-in-reverse,visual,artag,1720996737.1124766,0,person,pedestrian,none
24,config/exp2_cfgs/exp2_vis_role_ar_cmd.yaml,lab,supervisor,gest_verb,move-in-reverse,visual,artag,1720996738.145814,0,person,pedestrian,none
25,config/exp2_cfgs/exp2_vis_role_ar_cmd.yaml,lab,supervisor,gest_verb,move-in-reverse,visual,artag,1720996739.0791435,0,person,pedestrian,none
26,config/exp2_cfgs/exp2_vis_role_ar_cmd.yaml,lab,supervisor,gest_verb,move-in-reverse,visual,artag,1720996740.0792017,0,person,supervisor,none
27,config/exp2_cfgs/exp2_vis_role_ar_cmd.yaml,lab,supervisor,gest_verb,move-in-reverse,visual,artag,1720996741.0458124,0,person,pedestrian,none
28,config/exp2_cfgs/exp2_vis_role_ar_cmd.yaml,lab,supervisor,gest_verb,move-in-reverse,visual,artag,1720996742.0459998,0,person,pedestrian,none
29,config/exp2_cfgs/exp2_vis_role_ar_cmd.yaml,lab,supervisor,gest_verb,move-forward,visual,artag,1720996742.2126672,0,person,pedestrian,none
30,config/exp2_cfgs/exp2_vis_role_ar_cmd.yaml,lab,supervisor,gest_verb,move-forward,visual,artag,1720996666.6781614,0,person,pedestrian,none
31,config/exp2_cfgs/exp2_vis_role_ar_cmd.yaml,lab,supervisor,gest_verb,move-forward,visual,artag,1720996667.611491,0,person,pedestrian,none
32,config/exp2_cfgs/exp2_vis_role_ar_cmd.yaml,lab,supervisor,gest_verb,move-forward,visual,artag,1720996668.6448371,0,person,pedestrian,none
33,config/exp2_cfgs/exp2_vis_role_ar_cmd.yaml,lab,supervisor,gest_verb,move-forward,visual,artag,1720996669.6781666,0,person,pedestrian,none
34,config/exp2_cfgs/exp2_vis_role_ar_cmd.yaml,lab,supervisor,gest_verb,move-forward,visual,artag,1720996670.578156,0,person,pedestrian,none
35,config/exp2_cfgs/exp2_vis_role_ar_cmd.yaml,lab,supervisor,gest_verb,move-forward,visual,artag,1720996671.6116672,0,person,pedestrian,none
36,config/exp2_cfgs/exp2_vis_role_ar_cmd.yaml,lab,supervisor,gest_verb,move-forward,visual,artag,1720996672.611662,0,person,pedestrian,none
37,config/exp2_cfgs/exp2_vis_role_ar_cmd.yaml,lab,supervisor,gest_verb,move-forward,visual,artag,1720996673.6449838,0,person,pedestrian,none
38,config/exp2_cfgs/exp2_vis_role_ar_cmd.yaml,lab,supervisor,gest_verb,move-forward,visual,artag,1720996674.644993,0,person,pedestrian,none
39,config/exp2_cfgs/exp2_vis_role_ar_cmd.yaml,lab,supervisor,gest_verb,move-forward,visual,artag,1720996675.6117005,0,person,pedestrian,none
